"","year","tmax","tmin","af","rain","sun","location"
"300",1918,7.43333333333333,2.33333333333333,9.33333333333333,72.3,NA,"T03"
"301",1919,7.03333333333333,2,7,72.8333333333333,NA,"T03"
"302",1920,8.46666666666667,2.56666666666667,4.33333333333333,108.133333333333,NA,"T03"
"303",1921,8.43333333333333,2.93333333333333,6.66666666666667,71.6333333333333,NA,"T03"
"304",1922,8.36666666666667,3.06666666666667,3,79.5666666666667,NA,"T03"
"305",1923,8.46666666666667,3.36666666666667,2,94.5333333333333,NA,"T03"
"306",1924,7.56666666666667,2.4,5.66666666666667,63.4,NA,"T03"
"307",1925,8.36666666666667,2.93333333333333,2,83.7,NA,"T03"
"308",1926,7.9,2.4,7,82.1,NA,"T03"
"309",1927,7.83333333333333,2.13333333333333,6.66666666666667,51.5333333333333,NA,"T03"
"310",1928,7.73333333333333,2.1,4.66666666666667,91.5333333333333,NA,"T03"
"311",1929,6.26666666666667,1.4,8.66666666666667,51.6666666666667,NA,"T03"
"312",1930,6.63333333333333,0.766666666666667,10,93.6333333333333,57.3,"T03"
"313",1931,7.16666666666667,1.56666666666667,7.33333333333333,68.9666666666667,47.3666666666667,"T03"
"314",1932,8.76666666666667,3.3,5.33333333333333,48.7333333333333,43.4666666666667,"T03"
"315",1933,7.3,1.66666666666667,9.33333333333333,85.1666666666667,58.8666666666667,"T03"
"316",1934,7.8,2.33333333333333,6.33333333333333,41.2666666666667,48.7666666666667,"T03"
"317",1935,8.86666666666667,3.86666666666667,3.66666666666667,81.1,46.1666666666667,"T03"
"318",1936,5.76666666666667,0.566666666666667,12.3333333333333,64.0666666666667,52.4333333333333,"T03"
"319",1937,8.03333333333333,2.36666666666667,4,94.7666666666667,51.1333333333333,"T03"
"320",1938,7.5,1.86666666666667,6,61.9333333333333,39.9666666666667,"T03"
"321",1939,7.46666666666667,1.76666666666667,8,71.1333333333333,47.4666666666667,"T03"
"322",1940,5.93333333333333,0.8,10.3333333333333,69.8333333333333,41.7333333333333,"T03"
"323",1941,5.93333333333333,-0.166666666666667,13.3333333333333,69.5,53,"T03"
"324",1942,7.2,1.66666666666667,8.33333333333333,64.4,51.5,"T03"
